Flight ID,Aircraft Type,Departure Airport,Arrival Airport,Distance (km),Duration (hours),Cruising Altitude (ft),Wind Speed (km/h),Temperature (°C),SAF Percentage,Jet A-1 Percentage,Fuel Consumption (liters),Passenger Load,Cargo Load (kg),CO2 Emissions (kg)
F0039,Boeing 737,MAD,AMS,8761,12.72,30654,115,19,0.005571936617177653,0.9944280633828223,30459,89,6374,92876.81
F0040,Boeing 787,NCE,AMS,5284,6.22,34428,17,-10,0.0,1.0,20120,342,8368,62878.78
F0041,Boeing 777,INN,MXP,9536,10.89,35057,54,1,0.0,1.0,18866,244,1895,50000.81
F0042,Airbus A350,BCN,GVA,3327,4.13,33656,39,21,0.06212197833317665,0.9378780216668233,27939,69,7154,80371.45
F0043,Airbus A320,PMI,CPH,3028,3.42,36266,1,7,0.0005054481753240082,0.999494551824676,12330,207,936,31376.13
F0044,Boeing 777,HAM,BSL,4129,5.8,36171,82,16,0.0,1.0,31712,304,3165,80464.83
F0045,Boeing 737,MAN,GVA,7165,9.75,39147,54,-14,0.021385470605490776,0.9786145293945092,5645,85,4447,14259.93
F0046,Boeing 777,ORY,AMS,1560,2.22,30977,58,18,0.07588044991497639,0.9241195500850237,31810,134,1212,86593.2
F0047,Boeing 737,HAM,VIE,7160,10.89,38960,106,23,0.03373967170192301,0.966260328298077,19906,302,6057,59966.31
F0048,Airbus A350,VIE,CDG,4557,5.19,38761,0,36,0.09293102179829567,0.9070689782017043,29017,300,10383,84985.62
F0049,Boeing 787,AGP,AGP,5192,8.41,38420,101,6,0.07446341746783723,0.9255365825321628,34898,334,11647,100342.27
F0050,Airbus A320,VIE,LIS,4260,6.39,39588,91,-5,0.014290559501200251,0.9857094404987997,13212,276,6777,37478.26
F0051,Boeing 777,OPO,PMI,2825,3.49,40241,13,-1,0.045296928048502993,0.9547030719514971,18114,71,5039,53511.14
F0052,Airbus A320,TLS,BCN,4219,5.08,33560,83,-12,0.059407156382454473,0.9405928436175455,24781,104,2105,67791.88
F0053,Boeing 787,LIS,HEL,7201,11.76,30797,48,17,0.036938381988675585,0.9630616180113244,37115,251,9931,116757.89
F0054,Boeing 737,FAO,LYS,11484,17.48,40779,53,0,0.0,1.0,8980,347,10900,27904.24
F0055,Boeing 777,SZG,MUC,8739,9.78,40357,70,19,0.0953361664034128,0.9046638335965872,22778,276,3052,67596.44
F0056,Airbus A350,NAP,NCE,2264,3.33,32851,39,24,0.0,1.0,20679,100,3703,55180.96
F0057,Airbus A350,LIS,LHR,6053,7.01,37183,1,35,0.07097487933326119,0.9290251206667388,9752,128,11511,25226.7
F0058,Airbus A320,LGW,AGP,2548,3.61,34918,110,24,0.060972205178617234,0.9390277948213828,10289,236,4288,30654.63
F0059,Boeing 737,NAP,CPH,9587,12.36,38576,7,7,0.07872295782936906,0.9212770421706309,10055,164,1249,30788.47
F0060,Boeing 777,BER,STN,2766,4.02,31437,31,13,0.048011944640576135,0.9519880553594239,17026,110,3567,43127.03
F0061,Boeing 737,EDI,CPH,5595,9.27,33462,63,1,0.08429145787664374,0.9157085421233563,24495,115,6219,63453.75
F0062,Airbus A350,CPH,RTM,9948,15.63,33123,18,28,0.05157460011212728,0.9484253998878727,10379,312,1755,26233.2
F0063,Boeing 787,ZRH,LHR,519,0.59,34356,9,9,0.08164784916999185,0.9183521508300081,29954,112,530,88624.58
F0064,Airbus A350,NAP,LYS,10792,14.63,34945,88,-11,0.07861363188385295,0.921386368116147,18417,309,1812,53854.14
F0065,Boeing 787,EDI,BSL,7362,11.76,32595,50,29,0.008565812511609894,0.9914341874883901,30627,144,2095,80102.47
F0066,Boeing 737,CDG,BER,5046,7.81,31578,27,26,0.02769728098936739,0.9723027190106326,12261,187,8654,37528.55
F0067,Boeing 787,BER,LIS,3598,5.07,35740,61,10,0.0,1.0,28180,151,3713,79149.7
F0068,Boeing 777,CDG,BER,4420,5.39,36420,65,-7,0.0,1.0,28855,339,9757,82640.14
F0069,Boeing 787,LYS,VIE,10413,16.02,38485,74,32,0.0026894767541359777,0.997310523245864,29183,142,5267,75371.03
F0070,Airbus A320,VLC,VCE,9736,13.23,37428,65,37,0.0060727427903258585,0.9939272572096741,32211,303,1292,85240.64
F0071,Boeing 777,TLS,FCO,6589,9.51,30732,81,5,0.0,1.0,28217,301,11607,87589.12
F0072,Airbus A320,BER,CDG,2369,3.76,32489,84,16,0.027549757126763885,0.9724502428732361,13095,306,1007,34129.2
F0073,Airbus A350,EDI,ZRH,409,0.54,33479,57,-6,0.09410833025367321,0.9058916697463268,10174,93,8647,31006.74
F0074,Boeing 737,NAP,BLQ,9427,15.56,32237,38,29,0.0022841869115822313,0.9977158130884177,24455,181,6084,71689.41
F0075,Boeing 777,HAM,VLC,4887,6.32,35285,9,30,0.010548461313012137,0.9894515386869879,25537,269,11202,64129.18
F0076,Airbus A350,EDI,RTM,11343,17.56,38130,23,-1,0.017708998832380342,0.9822910011676197,15562,111,5679,41053.12
F0077,Airbus A350,VCE,TLS,4220,4.92,38593,75,36,0.06183653472251584,0.9381634652774842,18579,100,2948,56652.24
F0078,Boeing 737,GVA,MUC,424,0.55,32482,6,4,0.0,1.0,14629,84,1209,41193.21
F0079,Boeing 777,CPH,BCN,459,0.71,33044,39,16,0.0,1.0,22283,106,2292,67774.72
F0080,Boeing 737,VLC,STN,3996,5.14,38112,17,0,0.0,1.0,27582,125,934,71831.09
F0081,Boeing 787,VLC,SZG,10127,13.6,34455,42,9,0.048427836244760714,0.9515721637552392,28283,347,3649,87201.86
F0082,Boeing 787,VCE,EIN,2136,2.87,40365,88,34,0.001723303781300789,0.9982766962186992,30435,251,6645,82269.36
F0083,Boeing 777,FCO,LYS,5045,6.61,39419,90,38,0.0325811280695939,0.9674188719304061,13612,246,1890,35763.9
F0084,Boeing 777,BLQ,EIN,9282,13.69,32654,33,6,0.09976624053985786,0.9002337594601422,7103,118,9809,19218.43
F0085,Airbus A350,BER,CPH,8659,11.81,35772,4,32,0.02905502684790743,0.9709449731520926,10982,272,9595,34268.09
F0086,Boeing 777,MAD,OSL,9022,12.42,30267,116,31,0.09786572269478856,0.9021342773052115,19740,54,2512,48197.73
F0087,Boeing 737,FRA,INN,4950,5.54,32497,29,-4,0.005133452260069782,0.9948665477399302,16209,293,9001,46988.33
F0088,Airbus A320,BCN,ORY,3956,5.24,39835,71,34,0.04371055753492181,0.9562894424650782,17062,91,6674,50539.59
F0089,Boeing 787,RTM,NAP,3758,5.24,40018,57,28,0.07902124473544736,0.9209787552645526,26849,291,4210,66299.78
F0090,Boeing 787,ANR,FCO,11642,15.33,37566,116,34,0.08714010134192107,0.9128598986580789,21053,104,9703,63196.16
F0091,Boeing 787,VIE,LHR,2667,3.89,40499,71,11,0.04917720461883538,0.9508227953811647,9474,282,3497,24205.71
F0092,Boeing 737,INN,BCN,6251,8.92,33608,92,-4,0.06762939774901826,0.9323706022509818,23230,287,8094,59982.11
F0093,Airbus A350,MXP,ORY,8700,10.72,36383,41,39,0.009756250235594522,0.9902437497644054,13350,90,6801,33319.0
F0094,Airbus A320,FAO,FCO,9618,13.38,32405,47,9,0.07538125021775911,0.9246187497822409,10320,242,1020,29965.75
F0095,Airbus A320,GVA,DUS,3530,4.12,35504,75,36,0.0,1.0,33197,70,9640,94280.55
F0096,Boeing 737,ARN,NAP,4147,5.01,33059,20,21,0.06883827169096493,0.9311617283090351,20381,313,10326,61394.92
F0097,Boeing 787,NCE,AMS,7035,8.73,38436,6,19,0.004299831192342507,0.9957001688076574,20699,97,1891,53603.98
F0098,Airbus A320,STN,ARN,5799,9.38,32652,87,-8,0.03283005130852801,0.967169948691472,14352,133,7134,44260.1
F0099,Boeing 777,EDI,INN,4917,7.98,36337,107,-9,0.05219094399365777,0.9478090560063422,27255,82,10831,73101.47
F0100,Boeing 737,NAP,SZG,837,1.05,40468,69,24,0.039720844122472704,0.9602791558775273,14817,258,2538,38016.03
F0101,Airbus A320,CPH,LGW,2522,2.95,39250,74,11,0.0,1.0,9431,221,7606,25875.34
F0102,Boeing 737,GVA,GVA,11793,19.37,31247,72,-12,0.07255488567217665,0.9274451143278234,14654,166,11893,42990.55
F0103,Boeing 777,MAN,STN,5312,6.04,34312,100,31,0.04488220147982696,0.9551177985201731,33968,160,3699,101649.21
F0104,Airbus A320,STN,FCO,5452,8.01,31824,88,-1,0.012688185596192558,0.9873118144038074,16442,98,5585,49974.63
F0105,Boeing 777,AGP,LGW,9200,12.41,37887,46,14,0.04573204249801193,0.9542679575019881,10407,69,11022,31316.12
F0106,Airbus A350,INN,ARN,2519,3.19,37828,53,-3,0.05028123683077271,0.9497187631692273,13889,197,7599,41018.55
F0107,Boeing 737,MAN,BSL,1797,2.16,37507,48,5,0.08199993980888388,0.9180000601911161,30062,350,927,91993.5
F0108,Boeing 777,TLS,OPO,10254,11.66,30161,49,18,0.0,1.0,30604,73,3407,78405.38
F0109,Boeing 737,ZRH,FCO,11911,16.08,31525,15,-9,0.06316113807537657,0.9368388619246234,21103,213,1699,65247.37
F0110,Boeing 777,AGP,HAM,10465,14.23,35835,9,11,0.022584215267625232,0.9774157847323748,30990,103,747,78260.62
F0111,Boeing 737,ZRH,LYS,4620,7.45,30062,15,-2,0.04790472002916059,0.9520952799708394,26188,121,6247,76823.82
F0112,Boeing 787,LHR,MAN,10212,12.8,36706,56,-11,0.013824543252311063,0.9861754567476889,6273,215,11572,16204.76
F0113,Boeing 777,OPO,ZRH,9912,13.1,33572,55,38,0.05033596558466135,0.9496640344153386,19767,238,10515,59882.59
F0114,Boeing 777,FCO,BRU,3454,5.36,39958,89,3,0.019635336973645334,0.9803646630263547,11070,129,1609,28366.03
F0115,Boeing 737,FCO,ORY,10919,12.27,33235,109,-1,0.09259542573739343,0.9074045742626066,9691,54,8867,24487.06
F0116,Boeing 777,MAN,STN,9152,14.79,32951,57,39,0.04633161794174532,0.9536683820582547,10914,266,7997,32353.27
F0117,Boeing 787,AMS,DUS,5690,7.58,30234,86,20,0.06805276837818933,0.9319472316218107,5245,177,8855,14317.88
F0118,Boeing 787,AGP,NCE,9646,11.23,39405,109,14,0.013247122037628135,0.9867528779623719,17016,304,1796,43993.72
F0119,Boeing 787,NAP,AGP,10509,14.31,34199,80,7,0.0,1.0,24169,286,9621,61196.24
F0120,Boeing 777,MXP,ZRH,2464,3.56,32267,84,1,0.050281927101598116,0.9497180728984019,17476,248,3442,53574.08
F0121,Boeing 737,GVA,FRA,4837,7.32,38230,6,20,0.050097722742104195,0.9499022772578958,7619,64,2152,22329.66
F0122,Airbus A320,CDG,MAD,10648,14.14,33861,7,3,0.0,1.0,22257,319,10988,59640.81
F0123,Airbus A320,SZG,BLQ,620,0.72,34481,75,29,0.017810200510197216,0.9821897994898028,5640,321,4916,17333.39
F0124,Airbus A350,BRU,LHR,889,1.33,30261,31,22,0.05458560228670178,0.9454143977132983,31342,238,8408,78863.24
F0125,Boeing 777,VLC,OPO,7820,11.36,35975,93,-1,0.0,1.0,32347,143,9030,100651.32
F0126,Boeing 737,VIE,BLQ,4051,6.67,38239,117,-6,0.03817609476156336,0.9618239052384366,5099,235,10473,12987.74
F0127,Boeing 777,LGW,PMI,875,1.23,31214,9,20,0.08697657661827918,0.9130234233817208,30367,139,5808,83989.63
F0128,Boeing 777,VIE,INN,365,0.58,39099,28,-5,0.09148783165507446,0.9085121683449255,32646,257,3028,84541.51
F0129,Airbus A320,ZRH,NCE,10024,16.42,40232,106,-7,0.07360624375542084,0.9263937562445792,13332,240,2988,41151.31
F0130,Boeing 787,LGW,SZG,8250,13.47,30382,111,-14,0.07116052438439002,0.92883947561561,7111,112,5183,19397.56
F0131,Airbus A320,MUC,SZG,7971,9.4,36270,40,17,0.03324894877250073,0.9667510512274993,31509,232,3944,79005.31
F0132,Boeing 737,PMI,LYS,4063,5.53,32822,87,28,0.0017579551777560654,0.998242044822244,54996,121,5129,169659.62
F0133,Boeing 787,HAM,OSL,6205,7.71,32577,14,20,0.07785652544475175,0.9221434745552483,11516,185,9033,29787.28
F0134,Boeing 787,BSL,INN,7814,10.64,35980,54,40,0.0,1.0,6495,179,2891,17481.69
F0135,Boeing 737,OPO,INN,3240,4.99,40816,70,1,0.05261650012283279,0.9473834998771672,34442,293,6479,105370.6
F0136,Boeing 777,BCN,MAD,3757,4.22,35186,5,40,0.08889472163375588,0.9111052783662441,26011,275,1137,73644.77
F0137,Boeing 737,VCE,VIE,8461,11.18,40186,66,11,0.08423508727553738,0.9157649127244626,21895,197,4338,63915.99
F0138,Airbus A350,BER,LHR,2569,3.8,35838,19,10,0.08660089412191618,0.9133991058780838,33459,163,10495,92371.21
F0139,Boeing 777,EDI,CPH,562,0.67,38906,34,-1,0.08165000762824687,0.9183499923717531,19344,250,10617,47623.64
F0140,Airbus A320,AMS,TLS,11255,14.43,32936,106,-11,0.09294649518894622,0.9070535048110537,26668,295,7887,78016.69
F0141,Boeing 737,FRA,LGW,3186,3.86,34717,109,24,0.09069395157776565,0.9093060484222344,23072,115,5872,58478.8
F0142,Boeing 737,ANR,FCO,6021,7.32,35984,10,38,0.034428366512615896,0.9655716334873841,33117,187,3000,93136.02
F0143,Airbus A320,HAM,SZG,1484,2.4,32393,75,30,0.09927458496702525,0.9007254150329748,24761,295,2305,61944.66
F0144,Boeing 777,EDI,ARN,9212,12.06,35573,60,39,0.0303317361158284,0.9696682638841716,29808,231,6357,88893.97
F0145,Boeing 777,RTM,FCO,10231,11.83,31072,74,0,0.08522709834961081,0.9147729016503892,19836,141,11039,59777.31
F0146,Boeing 777,ORY,PMI,5642,6.43,38594,73,29,0.01903489892275674,0.9809651010772432,14304,168,7735,44968.18
F0147,Boeing 777,EDI,ZRH,7728,9.35,39789,18,37,0.008937190593505307,0.9910628094064947,8057,119,8283,23609.18
F0148,Boeing 777,FRA,VCE,8308,12.46,37130,50,10,0.09539971571667875,0.9046002842833213,14259,181,7547,42776.35
F0149,Boeing 737,LGW,TLS,302,0.42,39057,79,32,0.07175766050236368,0.9282423394976363,21653,259,6591,58073.78
F0150,Boeing 777,VCE,OPO,2871,3.47,31551,94,-14,0.030535778634191647,0.9694642213658083,34279,291,9775,98749.56
F0151,Boeing 737,FCO,LYS,3419,4.26,37518,28,22,0.0,1.0,24162,326,9644,60478.51
F0152,Boeing 787,RTM,CPH,7171,11.26,35205,60,36,0.0,1.0,31932,299,11542,98932.8
F0153,Boeing 787,LIS,OPO,8038,10.99,35825,13,29,0.08663702949657692,0.9133629705034231,25847,59,11884,71308.51
F0154,Airbus A350,VLC,EDI,1060,1.68,31104,120,31,0.09127167868861769,0.9087283213113824,30308,76,882,78595.48
F0155,Airbus A350,STN,AMS,728,0.98,33980,0,-4,0.05051368317209251,0.9494863168279075,27673,137,3156,77130.2
F0156,Airbus A320,ARN,ARN,11838,15.83,37753,42,-2,0.0,1.0,27300,308,3055,84647.84
F0157,Boeing 777,FCO,NCE,4976,6.83,37013,92,17,0.06283811527987486,0.9371618847201252,32749,301,8277,82062.88
F0158,Boeing 737,FRA,NAP,5158,8.54,31909,105,28,0.0,1.0,16011,197,3082,46331.49
F0159,Boeing 787,ARN,HAM,2687,3.1,39123,0,33,0.08511681762596444,0.9148831823740355,5443,175,1055,15595.17
F0160,Boeing 737,BCN,NCE,682,0.87,36143,41,-3,0.05307224524462639,0.9469277547553736,22564,162,2156,69347.91
F0161,Airbus A350,MAD,OPO,1512,2.19,34536,52,5,0.03600644413119717,0.9639935558688029,30266,84,3184,75604.29
F0162,Airbus A320,BSL,FAO,2634,3.2,31976,96,17,0.03884434898935024,0.9611556510106498,12110,311,8391,37849.41
F0163,Boeing 787,BER,BSL,9298,10.92,39353,103,34,0.03757909406006937,0.9624209059399307,12433,322,737,36435.58
F0164,Boeing 737,LYS,FRA,6757,7.56,35566,40,40,0.023110404703058987,0.976889595296941,5820,306,9377,15976.36
F0165,Airbus A350,NAP,FRA,11700,18.98,32138,62,19,0.03869404559408436,0.9613059544059156,34266,139,7756,93706.51
F0166,Boeing 777,ZRH,EIN,4536,7.17,35401,33,9,0.0725111280748781,0.9274888719251219,23984,120,5480,66519.93
F0167,Airbus A320,BSL,OSL,8353,11.4,31318,102,-7,0.07757915293987855,0.9224208470601214,16960,123,10703,44318.42
F0168,Boeing 777,VCE,OPO,7680,10.49,40815,1,22,0.043075448775231465,0.9569245512247685,7426,334,1338,20145.4
F0169,Airbus A350,INN,BCN,2082,2.85,38099,34,36,0.029444284278498736,0.9705557157215012,22665,231,2363,57939.2
F0170,Boeing 737,MAD,VLC,9918,13.09,40725,6,-4,0.0,1.0,20245,238,1325,60048.33
F0171,Airbus A350,LHR,INN,1782,2.31,34124,120,10,0.01605747176409772,0.9839425282359022,28333,90,4553,87717.24
F0172,Boeing 777,BLQ,MAD,5693,7.11,31210,75,-7,0.0,1.0,18973,324,11936,50537.61
F0173,Boeing 787,BSL,FRA,8601,11.51,33604,66,21,0.047371598629548865,0.9526284013704511,21147,51,9746,54819.21
F0174,Boeing 777,MUC,VCE,5451,8.92,32202,10,-1,0.03973991958712506,0.9602600804128749,12109,222,7838,31438.85
F0175,Airbus A350,FRA,MXP,3514,5.66,36267,79,-12,0.0,1.0,23330,296,9275,63395.76
F0176,Airbus A320,LHR,MUC,11646,15.43,31234,50,-15,0.012893544112061617,0.9871064558879383,18783,194,10890,56724.82
F0177,Airbus A320,NAP,RTM,2356,2.78,40037,43,-5,0.004476125992370505,0.9955238740076295,12706,230,9721,34920.3
F0178,Airbus A350,VLC,ZRH,402,0.55,40134,68,-5,0.049055348740094686,0.9509446512599053,7787,261,4785,19875.84
F0179,Boeing 737,NAP,EDI,6211,8.56,37191,73,-6,0.0,1.0,20973,333,4091,60546.3
F0180,Boeing 737,ANR,MUC,6051,8.82,36764,92,5,0.08409896011358686,0.9159010398864131,7134,280,11483,20940.33
F0181,Boeing 787,HEL,RTM,5241,6.06,34191,86,38,0.04928906830718086,0.9507109316928192,13005,332,9405,38223.81
F0182,Boeing 777,OPO,HEL,8196,9.66,34927,81,24,0.0,1.0,21082,193,1456,55461.48
F0183,Airbus A320,INN,OPO,10227,11.73,32358,28,33,0.08703550561599685,0.9129644943840032,15349,220,9374,40393.34
F0184,Boeing 787,FRA,NCE,381,0.43,30942,92,39,0.07361970573627868,0.9263802942637214,20336,55,4946,55274.59
F0185,Boeing 737,LYS,EDI,8647,9.63,34734,27,-9,0.022673770392140902,0.9773262296078591,13937,215,4702,37981.46
F0186,Boeing 737,PMI,FCO,3792,5.9,31493,27,-1,0.0,1.0,10600,85,1013,27499.45
F0187,Airbus A320,LHR,EIN,8426,11.88,36770,91,28,0.05092606014385984,0.9490739398561402,12171,74,506,35925.37
F0188,Boeing 777,VIE,EDI,9285,12.55,37308,81,16,0.0,1.0,30848,94,10562,78245.1
F0189,Boeing 737,HAM,AGP,1094,1.25,38218,66,24,0.0,1.0,21731,347,4508,59922.86
F0190,Boeing 787,DUS,FAO,1581,1.76,30357,116,-7,0.09124497869091376,0.9087550213090863,7506,325,5020,20051.09
F0191,Airbus A350,HAM,LGW,5583,6.23,34367,104,-12,0.061390420411657876,0.9386095795883421,10310,160,5380,31159.88
F0192,Boeing 737,TLS,LIS,2489,3.11,35520,9,9,0.034269617870651546,0.9657303821293485,21682,125,9341,65839.92
F0193,Airbus A350,BSL,OSL,5458,7.21,30871,66,-2,0.009946844855101722,0.9900531551448983,25268,179,1227,64872.88
F0194,Airbus A350,ANR,MAN,7866,12.03,32116,12,14,0.016942093424339645,0.9830579065756604,10750,59,8361,28506.85
F0195,Airbus A350,ARN,LHR,10770,13.83,32472,42,34,0.0986170147370173,0.9013829852629827,6535,310,5726,16503.28
F0196,Airbus A350,EDI,ARN,1396,1.57,39596,0,24,0.07914402106140861,0.9208559789385914,27030,151,8589,81625.41
F0197,Boeing 777,HAM,MUC,9640,14.24,39290,42,10,0.07440285782857649,0.9255971421714235,9779,172,7852,28599.41
F0198,Boeing 777,VCE,HEL,3144,4.77,36258,53,14,0.04818601087955724,0.9518139891204428,23292,61,977,64161.88
F0199,Airbus A350,STN,VIE,10802,15.65,36269,116,27,0.05195606423500389,0.9480439357649961,31483,318,2094,98289.32
F0200,Boeing 737,BRU,MAN,7199,11.99,37421,41,27,0.005467970064849581,0.9945320299351504,24858,98,1041,76188.12
F0201,Airbus A350,NAP,GVA,5359,6.8,31029,72,34,0.0,1.0,34550,156,1439,105463.42
F0202,Airbus A350,MXP,AMS,5139,7.89,36814,112,12,0.05770502908253551,0.9422949709174645,11090,126,6530,29520.61
F0203,Boeing 737,FAO,FCO,4561,5.23,31947,85,22,0.0,1.0,17258,296,1184,54286.51
F0204,Airbus A350,FAO,BER,6514,8.11,30293,61,22,0.0,1.0,19821,69,4288,51578.53
F0205,Boeing 777,FRA,VLC,5839,6.62,36899,59,2,0.08261691440428395,0.917383085595716,30661,133,11388,87309.8
F0206,Boeing 787,VCE,HEL,813,0.96,40811,38,7,0.0024492449297487395,0.9975507550702513,25514,204,4097,66200.3
F0207,Airbus A350,CDG,RTM,10824,12.51,37464,111,17,0.07495717529840473,0.9250428247015953,12793,185,4539,32669.31
F0208,Boeing 737,VLC,DUS,2251,2.79,35243,61,39,0.06457320637370033,0.9354267936262997,13065,202,4945,34395.76
F0209,Boeing 787,ANR,BSL,5733,9.28,33573,96,29,0.06189079277567369,0.9381092072243263,51447,156,4832,126596.69
F0210,Boeing 787,LGW,FRA,3596,5.56,37291,81,23,0.07742560558032599,0.922574394419674,30041,117,4669,81954.44
F0211,Boeing 737,ORY,LHR,8193,10.07,38255,94,-1,0.03381871204389535,0.9661812879561047,10055,88,8440,28389.55
F0212,Boeing 787,INN,AGP,9403,10.93,37989,72,11,0.02846659873793672,0.9715334012620633,34692,302,10422,93567.14
F0213,Airbus A320,CPH,OSL,3613,4.3,34100,107,38,0.08055375456876929,0.9194462454312307,25584,76,7189,74337.92
F0214,Boeing 737,BRU,AGP,4770,5.93,37842,57,22,0.0,1.0,12570,195,9311,31971.08
F0215,Airbus A320,LGW,BLQ,6173,8.31,37806,104,30,0.07146095000329117,0.9285390499967088,6615,237,11641,18140.14
F0216,Airbus A320,VCE,EIN,7249,9.44,36378,7,12,0.0,1.0,10402,273,11632,27685.59
F0217,Boeing 777,BER,BRU,11824,19.67,36342,85,35,0.03014476500671445,0.9698552349932855,28738,259,11494,84525.0
F0218,Airbus A350,LIS,FRA,3272,4.43,32331,70,-12,0.07992546034903245,0.9200745396509675,15927,141,11804,45311.52
F0219,Boeing 787,FAO,OSL,4706,6.41,31105,65,-3,0.025430263151116007,0.974569736848884,26486,256,7091,69872.14
F0220,Airbus A320,ORY,LGW,6653,10.62,31238,20,9,0.0,1.0,10573,79,1382,28217.67
F0221,Airbus A320,NCE,BSL,5443,6.32,30838,9,36,0.0,1.0,32793,178,3167,100060.27
